date,close
2015-01-01,2.444900
2015-02-01,2.510607
2015-03-01,2.602600
2015-04-01,2.655310
2015-05-01,2.703300
2015-06-01,2.787660
2015-07-01,2.918050
2015-08-01,3.038140
2015-09-01,2.934700
2015-11-01,2.925650
2015-12-01,2.920090
2016-01-01,2.954500
2016-02-01,2.987950
2016-03-01,2.833010
2016-04-01,2.953270
2016-05-01,2.887860
2016-06-01,2.986390
2016-07-01,2.963300
2016-08-01,2.997080
2016-09-01,3.106310
2016-11-01,3.409400
2016-12-01,3.525000
2017-01-01,3.776190
2017-02-01,3.606900
2017-03-01,3.654300
2017-04-01,3.552500
2017-05-01,3.524230
2017-06-01,3.532300
2017-07-01,3.455100
2017-08-01,3.558310
2017-09-01,3.777250
2017-11-01,3.956050
2017-12-01,3.794800
2018-01-01,3.775720
2018-02-01,3.815200
2018-03-01,3.954200
2018-04-01,4.468600
2018-05-01,4.590500
2018-06-01,4.882780
2018-07-01,6.734100
2018-08-01,6.056100
2018-09-01,5.480900
2018-11-01,5.170200
2018-12-01,5.274280
2019-01-01,5.227410
2019-02-01,5.309370
2019-03-01,5.583200
2019-04-01,5.912500
2019-05-01,5.771800
2019-06-01,5.557700
2019-07-01,5.832700
2019-08-01,5.667700
2019-09-01,5.701000
2019-11-01,5.744500
2019-12-01,5.947220
2020-01-01,5.974150
2020-02-01,6.206770
2020-03-01,6.565040
2020-04-01,6.811050
2020-05-01,6.849500
2020-06-01,6.969400
2020-07-01,7.324900
2020-08-01,7.811330
2020-09-01,8.297940
2020-11-01,7.817320
2020-12-01,7.373730
2021-01-01,7.307700
2021-02-01,7.323100
2021-03-01,8.324700
2021-04-01,8.573400
2021-05-01,8.726000
2021-06-01,8.452260
2021-07-01,8.367300
2021-08-01,8.916140
2021-09-01,9.525120
2021-11-01,12.699000
2021-12-01,13.290500
2022-01-01,13.482050
2022-02-01,14.028840
2022-03-01,14.651010
2022-04-01,16.383499
2022-05-01,16.628201
2022-06-01,17.945200
2022-07-01,18.150261
2022-08-01,18.497499
2022-09-01,18.572969
2022-11-01,18.639900
2022-12-01,18.680799
2023-01-01,18.808001
2023-02-01,18.884199
2023-03-01,19.175699
2023-04-01,20.611601
2023-05-01,26.038601
2023-06-01,26.840401
2023-07-01,26.681299
2023-08-01,27.458900
2023-09-01,28.257370
2023-11-01,28.940920
2023-12-01,29.519800
2024-01-01,30.358400
2024-02-01,31.208839
2024-03-01,32.362999
2024-04-01,32.243801
2024-05-01,32.733299
2024-06-01,33.098499
2024-07-01,34.077339
2024-08-01,34.149059
2024-09-01,34.283199
2024-11-01,34.677898
2024-12-01,35.305248
2025-01-01,35.853031
2025-02-01,36.517799
2025-03-01,37.975101
